frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.request.method,http.request.uri,http.request.version,http.user_agent,http.host,http.response.version,http.response.code,http.response.phrase,http.content_length
Aug 28\, 2025 15:20:27.430940118 WIB,192.168.19.129,52496,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,
Aug 28\, 2025 15:20:27.431117340 WIB,192.168.19.129,52498,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,
Aug 28\, 2025 15:20:27.431242723 WIB,192.168.19.129,52516,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,
Aug 28\, 2025 15:20:27.458309727 WIB,192.168.19.128,80,192.168.19.129,52498,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:27.474210293 WIB,192.168.19.128,80,192.168.19.129,52516,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:27.488258960 WIB,192.168.19.128,80,192.168.19.129,52496,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:27.573801301 WIB,192.168.19.129,52520,192.168.19.128,80,POST,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,42
Aug 28\, 2025 15:20:27.602232650 WIB,192.168.19.128,80,192.168.19.129,52520,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:27.637014694 WIB,192.168.19.129,52534,192.168.19.128,80,POST,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,44
Aug 28\, 2025 15:20:27.637896557 WIB,192.168.19.129,52550,192.168.19.128,80,POST,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,42
Aug 28\, 2025 15:20:27.660851680 WIB,192.168.19.128,80,192.168.19.129,52534,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:27.661664596 WIB,192.168.19.128,80,192.168.19.129,52550,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:27.713295134 WIB,192.168.19.129,52564,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/../../login.php,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128:80,,,,0
Aug 28\, 2025 15:20:27.746851155 WIB,192.168.19.128,80,192.168.19.129,52564,,/dvwa/vulnerabilities/brute/../../login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:20:27.776819372 WIB,192.168.19.129,52576,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/../../login.php,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128:80,,,,0
Aug 28\, 2025 15:20:27.787344763 WIB,192.168.19.129,52588,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/../../login.php,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128:80,,,,0
Aug 28\, 2025 15:20:27.803886768 WIB,192.168.19.128,80,192.168.19.129,52576,,/dvwa/vulnerabilities/brute/../../login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:20:27.810057108 WIB,192.168.19.128,80,192.168.19.129,52588,,/dvwa/vulnerabilities/brute/../../login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:20:38.551888869 WIB,192.168.19.129,49052,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,
Aug 28\, 2025 15:20:38.552581241 WIB,192.168.19.129,49062,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,
Aug 28\, 2025 15:20:38.553040900 WIB,192.168.19.129,49064,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,
Aug 28\, 2025 15:20:38.579041824 WIB,192.168.19.128,80,192.168.19.129,49062,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:38.579682874 WIB,192.168.19.128,80,192.168.19.129,49052,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:38.597563131 WIB,192.168.19.128,80,192.168.19.129,49064,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:38.718540427 WIB,192.168.19.129,49072,192.168.19.128,80,POST,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,44
Aug 28\, 2025 15:20:38.718629208 WIB,192.168.19.129,49070,192.168.19.128,80,POST,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,44
Aug 28\, 2025 15:20:38.740599893 WIB,192.168.19.128,80,192.168.19.129,49072,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:38.748926568 WIB,192.168.19.128,80,192.168.19.129,49070,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:38.773430712 WIB,192.168.19.129,49084,192.168.19.128,80,POST,/dvwa/vulnerabilities/brute/,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128,,,,42
Aug 28\, 2025 15:20:38.792216207 WIB,192.168.19.128,80,192.168.19.129,49084,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:38.854113636 WIB,192.168.19.129,49088,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/../../login.php,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128:80,,,,0
Aug 28\, 2025 15:20:38.854344862 WIB,192.168.19.129,49090,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/../../login.php,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128:80,,,,0
Aug 28\, 2025 15:20:38.879845505 WIB,192.168.19.128,80,192.168.19.129,49088,,/dvwa/vulnerabilities/brute/../../login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:20:38.879846138 WIB,192.168.19.128,80,192.168.19.129,49090,,/dvwa/vulnerabilities/brute/../../login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:20:38.896632452 WIB,192.168.19.129,49100,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/../../login.php,HTTP/1.0,Mozilla/5.0 (Hydra),192.168.19.128:80,,,,0
Aug 28\, 2025 15:20:38.921412581 WIB,192.168.19.128,80,192.168.19.129,49100,,/dvwa/vulnerabilities/brute/../../login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:19:38.701502846 WIB,192.168.19.129,59898,192.168.19.128,80,POST,/dvwa/login.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,44
Aug 28\, 2025 15:19:38.813611490 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/login.php,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:19:39.096550061 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/index.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:19:39.123236129 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/index.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:19:43.286273009 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/setup.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:19:43.324903173 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/setup.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:19:45.101069305 WIB,192.168.19.129,59898,192.168.19.128,80,POST,/dvwa/setup.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,35
Aug 28\, 2025 15:19:45.242306154 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/setup.php,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:19:45.250702805 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/setup.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:19:45.273591253 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/setup.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:19:47.491851359 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/vulnerabilities/brute/,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:19:47.522988468 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/vulnerabilities/brute/,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:19:49.463036620 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
